CAD CDW ID,CAD Event Number,General Offense Number,Event Clearance Code,Event Clearance Description,Event Clearance SubGroup,Event Clearance Group,Event Clearance Date,Hundred Block Location,District/Sector,Zone/Beat,Census Tract,Longitude,Latitude,Incident Location,Initial Type Description,Initial Type Subgroup,Initial Type Group,At Scene Time,OFFICERS_AT_SCENE
1702311,16000104983,2016104983,242,FIGHT DISTURBANCE,DISTURBANCES,DISTURBANCES,3/26/16 17:17,46XX BLOCK OF 38 AV S,R,R3,10100.2019,-122.284904,47.561256,"(47.561256, -122.284904)",FIGHT - IP - PHYSICAL (NO WEAPONS),DISTURBANCES,DISTURBANCES,,2
1702312,16000104976,2016104976,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,3/26/16 17:15,29 AV / E ALDER ST,G,G2,8800.3002,-122.29493,47.604195,"(47.604195, -122.29493)",PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC RELATED CALLS,PARKING VIOLATIONS,,2
1702316,16000104995,2016104995,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,3/26/16 17:19,WEST SEATTLE BR WB / 1 AV S ON RP,O,O1,9300.306,-122.33524,47.57158,"(47.57158, -122.33524)",TRAFFIC - MOVING VIOLATION,TRAFFIC RELATED CALLS,PARKING VIOLATIONS,,0
1702317,16000104994,2016104994,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,3/26/16 17:26,24XX BLOCK OF 35 AV W,Q,Q1,5600.403,-122.40237,47.640358,"(47.640358, -122.40237)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,,2
1702318,16000104993,2016104993,281,SUSPICIOUS VEHICLE,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,3/26/16 17:19,24 AV / E ALDER ST,G,G2,8800.3008,-122.30109,47.60432,"(47.60432, -122.30109)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,,1
1702319,16000104992,2016104992,176,LIQUOR VIOLATION - ADULT,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,3/26/16 17:17,92XX BLOCK OF RAINIER AV S,S,S3,11800.602,-122.26803,47.51985,"(47.51985, -122.26803)",LIQUOR VIOLATIONS - ADULT,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,,2
1702321,16000104986,2016104986,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,3/26/16 17:18,27XX BLOCK OF RAINIER AV S,R,R2,10001.1002,-122.29916,47.579674,"(47.579674, -122.29916)",TRESPASS,TRESPASS,TRESPASS,,3
1702322,16000104962,2016104962,201,ALACAD - RESIDENTIAL BURGLARY (FALSE),BURGLARY ALACAD (FALSE),FALSE ALACAD,3/26/16 17:17,66XX BLOCK OF S BANGOR ST,S,S3,11900.2016,-122.25063,47.506386,"(47.506386, -122.25063)","ALARM - RESIDENTIAL - BURGLARY, SILENT/AUDIBLE",ALACAD,SUSPICIOUS CIRCUMSTANCES,,1
1702323,16000104918,2016104918,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,3/26/16 17:18,4 AV S / S LANDER ST,O,O1,9300.3019,-122.329056,47.579807,"(47.579807, -122.329056)","HARAS - NO BIAS, THREATS OR MALICIOUSNESS","THREATS, HARASSMENT","THREATS, HARASSMENT",3/26/16 15:56,3
1702324,16000104794,2016104794,65,THEFT - MISCELLANEOUS,THEFT,OTHER PROPERTY,3/26/16 17:14,9XX BLOCK OF 14 AV E,C,C1,6500.3017,-122.31459,47.627274,"(47.627274, -122.31459)",THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),OTHER PROPERTY,THEFT,,1
